"","source","Organization/Person Name","Organization/Person Name URL","Investor Type","Number of Investments","Number of Exits","Location","Description","Investment Stage","Number of Portfolio Organizations","Number of Partner Investments","Number of Lead Investments","Number of Diversity Investments","Number of Exits (IPO)","Accelerator Program Type","Accelerator Next Application Deadline","Accelerator Duration (in weeks)","Trend Score (90 Days)","Trend Score (30 Days)","Trend Score (7 Days)","CB Rank (Investor)","SEMrush - Monthly Visits","SEMrush - Average Visits (6 months)","SEMrush - Monthly Visits Growth","SEMrush - Visit Duration","SEMrush - Visit Duration Growth","SEMrush - Page Views / Visit","SEMrush - Page Views / Visit Growth","SEMrush - Bounce Rate","SEMrush - Bounce Rate Growth","Apptopia - Number of Apps","Apptopia - Downloads Last 30 Days","BuiltWith - Active Tech Count","G2 Stack - Total Products Active","IPqwery - Patents Granted","IPqwery - Trademarks Registered","IPqwery - Most Popular Patent Class","IPqwery - Most Popular Trademark Class","Aberdeen - IT Spend","Aberdeen - IT Spend Currency","Aberdeen - IT Spend Currency (in USD)"
"11","INVESTORS/investors-2021-11-26 (1).csv","SyndicateRoom","https://www.crunchbase.com/organization/syndicateroom","Micro VC, Venture Capital",96,2,"Cambridge, Cambridgeshire, United Kingdom","VC fund that builds diversified portfolios of 50+ startups by co‑investing with some of the UK’s best-performing angel investors.","Early Stage Venture, Seed",81,NA,9,1,2,NA,NA,NA,-0.3,-0.1,-0.1,2280,22738,18849.5,"47.95%",510,"1.19%",1.6,"5.15%","81.35%","11.15%",NA,NA,27,26,0,1,NA,"Scientific and electric apparatus and instruments",26230,"USD",26230
"12","INVESTORS/investors-2021-11-26 (1).csv","Tribe Capital","https://www.crunchbase.com/organization/tribe-capital","Venture Capital",95,2,"Menlo Park, California, United States","Tribe Capital is an early stage venture capital firm focused on recognizing and amplifying early stage product-market fit.","Early Stage Venture, Late Stage Venture, Venture",79,NA,27,17,2,NA,NA,NA,-1,3.7,2,398,23464,9924.67,"431.94%",125,"-94.58%",1.6,"59.83%","82.5%","-17.5%",NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
"13","INVESTORS/investors-2021-11-26 (1).csv","European Innovation Council","https://www.crunchbase.com/organization/european-innovation-council","Incubator",92,2,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","The EIC pilot aims to support top-class innovators, entrepreneurs, small companies and researchers with bright ideas.",NA,79,NA,68,1,2,NA,NA,NA,-0.3,-1.3,0.1,2137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,61,NA,NA,NA,NA,NA,NA,NA
"14","INVESTORS/investors-2021-11-26 (1).csv","Operator Partners","https://www.crunchbase.com/organization/operator-partners","Venture Capital",85,2,"New York, New York, United States","Operator Partners invests in early-stage technology companies and founders.","Early Stage Venture, Seed",80,NA,NA,7,2,NA,NA,NA,-1,-1.8,3.6,2036,2382,NA,"-47.83%",0,NA,1,"0%","100%","0%",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"15","INVESTORS/investors-2021-11-26 (1).csv","Texas HALO Fund","https://www.crunchbase.com/organization/texas-halo-fund","Micro VC, Venture Capital",83,2,"Houston, Texas, United States","Texas HALO Fund is an investment company that specializes in investing in early-stage businesses.","Convertible Note, Early Stage Venture, Seed",56,NA,8,32,2,NA,NA,NA,-0.1,6.1,5,1563,2075,NA,NA,4,NA,2,NA,"0%",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"16","INVESTORS/investors-2021-11-26 (1).csv","Alpha Edison","https://www.crunchbase.com/organization/alpha-edison","Venture Capital",81,2,"Los Angeles, California, United States","Alpha Edison is a venture capital firm that focuses on technology-driven innovation.",NA,57,NA,29,17,2,NA,NA,NA,-1.3,-0.6,1.6,3841,4781,NA,"-53.18%",302,"235.56%",5.01,"-16.36%","45.41%","65.31%",NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
"17","INVESTORS/investors-2021-11-26 (1).csv","Hashed","https://www.crunchbase.com/organization/hashed-f96b","Venture Capital",78,2,"Seoul, Seoul-t'ukpyolsi, South Korea","Hashed is the crypto assets fund and community builder.","Early Stage Venture, Initial Coin Offering, Seed",71,NA,19,3,2,NA,NA,0,0.5,5.7,1.5,806,10405,17199.5,"-78.16%",129,"330%",1.24,"18.64%","87.88%","-7.76%",NA,NA,17,NA,0,2,NA,"Insurance; financial affairs",NA,NA,NA
"18","INVESTORS/investors-2021-11-26 (1).csv","Pareto Holdings","https://www.crunchbase.com/organization/pareto-holdings","Venture Capital",78,2,"Miami, Florida, United States","Pareto Holdings is Building world-changing companies in the Miami sunshine.","Early Stage Venture",76,NA,3,11,2,NA,NA,NA,9.5,3.7,1,917,2772,NA,NA,565,NA,2.13,NA,"62.37%",NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
"19","INVESTORS/investors-2021-11-26 (1).csv","Magma Partners","https://www.crunchbase.com/organization/magma-partners","Venture Capital",78,2,"Santiago, Region Metropolitana, Chile","Magma Partners is an early-stage investment firm that supports Latin American entrepreneurs.","Early Stage Venture, Seed",65,NA,22,12,2,NA,NA,NA,-1.4,-2.9,-1.3,5055,2286,2424.5,"-36.34%",22,"-96.68%",2.5,"-70.71%","50%","38.31%",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"20","INVESTORS/investors-2021-11-26 (1).csv","Berkeley SkyDeck Fund","https://www.crunchbase.com/organization/berkeley-skydeck-fund","University Program, Venture Capital",78,2,"Berkeley, California, United States","Investment Arm Behind UC Berkeley's SkyDeck Accelerator","Seed",74,NA,5,15,2,NA,NA,NA,4.8,4.3,-0.3,6015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"21","INVESTORS/investors-2021-11-26 (1).csv","Collider","https://www.crunchbase.com/organization/collider","Accelerator",78,2,"London, England, United Kingdom","Collider is a supercharging startups and accelerating brands dedicated to marketing and advertising tech startups.","Seed",62,NA,48,NA,2,"On-Site",2019-05-31,12,4.3,0.6,-0.1,9077,320,NA,"-75.29%",0,NA,1.07,"-78.62%","93.12%",NA,NA,NA,3,NA,0,1,NA,"Advertising; business",NA,NA,NA
"22","INVESTORS/investors-2021-11-26 (1).csv","Seedstars","https://www.crunchbase.com/organization/seedstars","Accelerator, Co-Working Space, Incubator, Startup Competition, Venture Capital",77,2,"Geneva, Geneve, Switzerland","Seedstars is a global venture capital fund, investing in early-stage tech startups in emerging markets, with over 50 portfolio companies.","Convertible Note, Early Stage Venture, Seed, Venture",67,NA,21,3,2,NA,NA,NA,-1.4,1.2,3.9,3756,60238,35295,"-16.71%",754,"28.01%",6.12,"62.85%","30.33%","17.83%",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
"23","INVESTORS/investors-2021-11-26 (1).csv","Nex Cubed","https://www.crunchbase.com/organization/nex-cubed","Accelerator, Entrepreneurship Program, Incubator",77,2,"San Francisco, California, United States","Nex Cubed is an investor and innovation partner that invests in, accelerates, and scales frontier tech companies.","Early Stage Venture, Seed",74,NA,NA,22,2,"Online",2019-12-31,NA,-0.3,-0.1,0,11649,1170,2133.5,"15.84%",0,"160.38%",1,"-50%","100%","200.03%",NA,NA,16,13,NA,NA,NA,NA,NA,NA,NA
"24","INVESTORS/investors-2021-11-26 (1).csv","Eagles Fund","https://www.crunchbase.com/organization/eagles-fund","Angel Group, Venture Capital",76,2,"Beijing, Beijing, China","Eagles Fund is a diversified angel fund and family fund.",NA,59,NA,9,NA,2,NA,NA,NA,-0.2,0,0.2,22046,126387,251723.17,"-89.88%",319,"20.38%",1.76,"-20.7%","33.67%","88.52%",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
"25","INVESTORS/investors-2021-11-26 (1).csv","BITKRAFT Ventures","https://www.crunchbase.com/organization/bitkraft-ventures","Venture Capital",74,2,"San Francisco, California, United States","BITKRAFT Ventures is an early-stage investment platform for gaming, esports, and interactive media.","Early Stage Venture, Seed",60,NA,46,2,2,NA,NA,NA,8.8,3.3,-0.1,4854,4552,5557,"98.26%",18,"-84.48%",1.52,"-3.16%","47.97%","-40.39%",NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA
"26","INVESTORS/investors-2021-11-26 (1).csv","SGInnovate","https://www.crunchbase.com/organization/sginnovate","Venture Capital",74,2,"Singapore, Central Region, Singapore","SGInnovate helps entrepreneurial scientists build Deep Tech startups.","Early Stage Venture, Seed, Venture",62,NA,15,3,2,NA,NA,NA,-0.2,-0.3,-0.1,7373,33146,41387.83,"-44.88%",389,"0.26%",1.7,"-25.26%","67.77%","21.34%",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
"27","INVESTORS/investors-2021-11-26 (1).csv","Connetic Ventures","https://www.crunchbase.com/organization/connetic-ventures","Micro VC, Venture Capital",73,2,"Covington, Kentucky, United States","Connetic is an early-stage VC that uses AI and machine learning to remove bias, move fast, and create transparency.","Early Stage Venture, Seed, Venture",61,NA,2,19,2,NA,NA,NA,2.9,-0.3,-0.2,12800,3128,NA,"138.6%",234,"2,027.27%",2.33,"16.67%","33.33%",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"28","INVESTORS/investors-2021-11-26 (1).csv","Cantos","https://www.crunchbase.com/organization/cantos-ventures","Micro VC, Venture Capital",71,2,"San Francisco, California, United States","A pre-seed firm obsessively pursuing the near frontier – where software, hardware, & wetware intersect.","Early Stage Venture, Seed",53,NA,2,19,2,NA,NA,NA,-2.4,2.3,0,7214,2310,NA,NA,0,NA,1,NA,"100%",NA,NA,NA,30,NA,0,1,NA,"Insurance; financial affairs",NA,NA,NA
"29","INVESTORS/investors-2021-11-26 (1).csv","Hashkey","https://www.crunchbase.com/organization/hashkey","Venture Capital",70,2,"Hong Kong, Hong Kong Island, Hong Kong","Hashkey is a digital asset group that focuses on developing the blockchain and digital asset industry.",NA,62,NA,10,5,2,NA,NA,NA,2.8,0.3,1.9,2081,7582,20035.5,"-77.35%",589,"-21.88%",1.56,"-54.96%","68.14%","67.13%",NA,NA,55,NA,0,4,NA,"Scientific and electric apparatus and instruments",NA,NA,NA
"30","INVESTORS/investors-2021-11-26 (1).csv","Unshackled Ventures","https://www.crunchbase.com/organization/unshackled-ventures","Micro VC, Venture Capital",65,2,"Palo Alto, California, United States","Unshackled Ventures is an early-stage venture capital fund for immigrant-founded startups.","Early Stage Venture, Seed",47,NA,44,29,2,NA,NA,NA,-0.7,3.2,-0.2,4292,8654,9056.33,"45.86%",346,"-24.29%",2.84,"81.96%","40.77%","-36.39%",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"31","INVESTORS/investors-2021-11-26 (1).csv","KPTL","https://www.crunchbase.com/organization/kptl","Venture Capital",65,2,"São Paulo, Sao Paulo, Brazil","KPTL operates as a venture capital firm.","Early Stage Venture",61,NA,57,NA,2,NA,NA,NA,-0.9,-1.1,-0.3,9588,7412,NA,"1,521.88%",2996,NA,1.4,"40%","80%","-20%",NA,NA,13,11,NA,NA,NA,NA,NA,NA,NA
"32","INVESTORS/investors-2021-11-26 (1).csv","Republic Capital","https://www.crunchbase.com/organization/republic-labs","Venture Capital",64,2,"New York, New York, United States","Republic Capital works with high net-worth individuals and family offices to syndicate investment opportunities.",NA,54,NA,5,9,2,NA,NA,NA,5.2,7,4.4,2891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"33","INVESTORS/investors-2021-11-26 (1).csv","RCL Accelerator","https://www.crunchbase.com/organization/rcl-accelerator","Accelerator",62,2,"Brisbane, Queensland, Australia","RCL Accelerator is a startup accelerator powered by muru-D based in Brisbane, Australia","Seed",57,NA,1,1,2,NA,NA,6,-0.2,-0.1,-0.1,23302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"34","INVESTORS/investors-2021-11-26 (1).csv","Human Capital","https://www.crunchbase.com/organization/human-capital-da7c","Venture Capital",61,2,"San Francisco, California, United States","Human Capital is a venture firm for engineers.","Early Stage Venture, Late Stage Venture, Seed",37,NA,8,17,2,NA,NA,NA,7.5,-1.5,-0.1,2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
"35","INVESTORS/investors-2021-11-26 (1).csv","Starta Accelerator","https://www.crunchbase.com/organization/starta-accelerator","Accelerator",61,2,"New York, New York, United States","Starta Accelerator is an Accelerator specializing in technology startups with European R&D roots.","Seed",61,NA,22,8,2,"On-Site",2020-01-11,13,0.9,1.4,0,15033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"36","INVESTORS/investors-2021-11-26 (1).csv","Falcon Edge Capital","https://www.crunchbase.com/organization/falcon-edge-capital-2","Hedge Fund, Venture Capital",60,2,"New York, New York, United States","Falcon Edge Capital is a global alternative asset manager that offers a variety of investment products.","Early Stage Venture",44,NA,38,2,2,NA,NA,NA,-1.2,2.5,2.3,1519,2729,NA,"557.59%",43,"4,200%",1.26,"-13.96%","73.96%","38.27%",NA,NA,16,NA,NA,NA,NA,NA,168513,"USD",168513
"37","INVESTORS/investors-2021-11-26 (1).csv","Skyland Ventures","https://www.crunchbase.com/organization/skyland-ventures","Incubator, Venture Capital",60,2,"Tokyo, Tokyo, Japan","Skyland Ventures is a venture capital firm that supports business, recruitment/organization, and business management.","Early Stage Venture, Seed",54,NA,12,NA,2,NA,NA,NA,4,-0.8,-0.2,11534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA
"38","INVESTORS/investors-2021-11-26 (1).csv","Big Idea Ventures","https://www.crunchbase.com/organization/big-idea-ventures","Accelerator, Micro VC, Venture Capital",59,2,"New York, New York, United States","Investing in Great Entrepreneurs Solving the World's Biggest Challenges","Early Stage Venture, Seed, Venture",48,NA,39,16,2,"On-Site",NA,20,4.1,4.5,1.1,1762,3368,12953.83,"-25.01%",25,"69.7%",2.28,"112.84%","26.63%","-71.32%",NA,NA,42,18,NA,NA,NA,NA,NA,NA,NA
"39","INVESTORS/investors-2021-11-26 (1).csv","All Iron Ventures","https://www.crunchbase.com/organization/all-iron-ventures","Venture Capital",59,2,"Bilbao, Pais Vasco, Spain","All Iron Ventures is a venture capital investor across different geographies, stages and sectors","Early Stage Venture, Seed",42,NA,9,1,2,NA,NA,NA,-0.8,-0.7,-0.3,6101,3169,NA,"615.35%",19,"-95.79%",1.91,"-36.49%","46.8%",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"40","INVESTORS/investors-2021-11-26 (1).csv","Congruent Ventures","https://www.crunchbase.com/organization/congruent-ventures","Venture Capital",58,2,"Oakland, California, United States","Congruent Ventures is an early-stage venture fund focused on sustainable technologies.","Convertible Note, Early Stage Venture, Seed, Venture",35,NA,17,17,2,NA,NA,NA,6.3,3.7,4.4,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"41","INVESTORS/investors-2021-11-26 (1).csv","Tisiwi Ventures","https://www.crunchbase.com/organization/tisiwi-ventures","Venture Capital",57,2,"Hangzhou, Zhejiang, China","Tisiwi Ventures is an investment firm.","Early Stage Venture",52,NA,11,NA,2,NA,NA,NA,1.2,0.9,-0.1,25904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA
"42","INVESTORS/investors-2021-11-26 (1).csv","Acrew Capital","https://www.crunchbase.com/organization/acrew-capital","Venture Capital",56,2,"San Francisco, California, United States","Acrew Capital is a venture capital firm that provides investable assets for diverse angel investors to fund tomorrow's companies.","Early Stage Venture, Late Stage Venture, Seed",45,NA,20,8,2,NA,NA,NA,-0.9,-0.7,3.6,1321,5575,4860.5,"29.98%",201,"1,575%",1.53,"-21.01%","65.58%","58.94%",NA,NA,25,NA,0,1,NA,"Insurance; financial affairs",NA,NA,NA
"43","INVESTORS/investors-2021-11-26 (1).csv","Daphni","https://www.crunchbase.com/organization/daphni","Venture Capital",56,2,"Paris, Ile-de-France, France","Daphni is a venture capital fund investing in user-oriented, early stage startups with the European DNA and strong international ambition.","Early Stage Venture, Seed",34,NA,25,3,2,NA,NA,NA,6.5,0,3,4252,4949,3621,"34.3%",968,"50.08%",6.06,"130.84%","13.15%","-65.7%",NA,NA,41,NA,0,4,NA,"Advertising; business",NA,NA,NA
"44","INVESTORS/investors-2021-11-26 (1).csv","Intelak Hub","https://www.crunchbase.com/organization/intelak","Accelerator, Incubator",55,2,"Dubai, Dubai, United Arab Emirates","Intelak is a technology and innovation hub, based in Dubai, that supports early and late-stage start-ups.",NA,55,NA,55,1,2,"Online",2021-08-29,8,-1.4,-1.2,-0.3,4238,17,7094.5,"-99.65%",0,"-89.45%",1,"-65.33%","100%","1,630.1%",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
"45","INVESTORS/investors-2021-11-26 (1).csv","CapHorn Invest","https://www.crunchbase.com/organization/caphorn-invest","Venture Capital",55,2,"Paris, Ile-de-France, France","CapHorn Invest is a French VC firm investing in B2B digital companies.","Early Stage Venture, Seed, Venture",37,NA,24,1,2,NA,NA,NA,3.8,4,4.2,7659,1102,NA,"81.55%",697,"1,415.22%",6.5,"116.67%","0%",NA,1,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"46","INVESTORS/investors-2021-11-26 (1).csv","H2 Ventures","https://www.crunchbase.com/organization/h2-ventures","Accelerator",55,2,"Sydney, New South Wales, Australia","H2 Ventures is an early stage Venture Capital firm investing in Fintech, Data & A.I.","Early Stage Venture",53,NA,53,NA,2,NA,NA,NA,0.5,-0.1,0,12526,410,2685.17,"-90.62%",0,"-77.79%",1,"0%","100%","0%",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"47","INVESTORS/investors-2021-11-26 (1).csv","Volta Ventures","https://www.crunchbase.com/organization/volta-ventures","Venture Capital",54,2,"Gent, Oost-Vlaanderen, Belgium","Volta Ventures is a venture capital firm that offers seed & early stage VC for internet & software companies in the Benelux.","Early Stage Venture, Seed",32,NA,32,1,2,NA,NA,NA,1.6,-2.3,-0.5,8342,439,NA,NA,6,NA,2,NA,"0%",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"48","INVESTORS/investors-2021-11-26 (1).csv","Caixa Capital","https://www.crunchbase.com/organization/caixa-capital-2","Micro VC, Private Equity Firm, Venture Capital",54,2,"Lisboa, Lisboa, Portugal","Caixa Capital invests across all sectors with a focus on information technology and is a Portuguese private equity and venture capital firm.","Early Stage Venture, Private Equity, Seed",35,NA,10,2,2,NA,NA,NA,2.4,3.1,0,14624,520,NA,"-42.73%",61,NA,2,"100%","0%",NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA
"49","INVESTORS/investors-2021-11-26 (1).csv","Kairos Ventures","https://www.crunchbase.com/organization/kairos-venture-investments-llc","Venture Capital",53,2,"Beverly Hills, California, United States","Kairos Ventures invests in ideas, patents, and businesses from the top universities and scientists.",NA,44,NA,19,9,2,NA,NA,NA,-1.7,-0.1,0.1,8991,4887,NA,"263.08%",63,"80%",2.65,"-11.55%","33.87%",NA,NA,NA,42,NA,0,0,NA,"Insurance; financial affairs",NA,NA,NA
"50","INVESTORS/investors-2021-11-26 (1).csv","Business Angels Switzerland (BAS)","https://www.crunchbase.com/organization/business-angels-switzerland-bas","Venture Capital",53,2,"Zürich, Zurich, Switzerland","Business Angels Switzerland (BAS) is an association providing financing and coaching to startup's",NA,45,NA,21,NA,2,NA,NA,NA,4.5,2.5,3.3,9043,168,NA,NA,0,NA,1,NA,"100%",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA
"51","INVESTORS/investors-2021-11-26 (1).csv","Fika Ventures","https://www.crunchbase.com/organization/fika-ventures","Venture Capital",52,2,"Los Angeles, California, United States","Fika Ventures is a seed fund that focuses on enterprise and B2B software, FinTech, marketplaces, and digital health.","Seed",34,NA,9,13,2,NA,NA,NA,-1.8,7.3,3.7,2661,1921,4743.83,"-74.76%",0,NA,1,"0%","100%","0%",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"52","INVESTORS/investors-2021-11-26 (1).csv","China Creation Ventures (CCV)","https://www.crunchbase.com/organization/china-creation-ventures","Venture Capital",52,2,"Beijing, Beijing, China","China Creation Ventures is a venture capital firm focusing on TMT sector in China.","Early Stage Venture",42,NA,17,NA,2,NA,NA,NA,6.9,5.1,-0.2,5019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"53","INVESTORS/investors-2021-11-26 (1).csv","Conector Startup Accelerator","https://www.crunchbase.com/organization/conector-startup-accelerator","Accelerator",52,2,"Barcelona, Catalonia, Spain","Conector Startup Accelerator is a Spanish startup incubator that provides mentorship services for startups and entrepreneurs.","Seed",50,NA,42,NA,2,"On-Site",2020-03-05,NA,-0.1,-0.1,0,24759,11590,NA,NA,38,NA,1.81,NA,"75.81%",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"54","INVESTORS/investors-2021-11-26 (1).csv","Bedrock Capital","https://www.crunchbase.com/organization/bedrock-capital","Private Equity Firm, Venture Capital",50,2,"New York, New York, United States","Bedrock Capital is an investment firm that supports and finances 'one-of-a-kind companies'.","Private Equity, Venture",39,NA,16,2,2,NA,NA,NA,-0.7,7.3,5.2,2258,5229,4371.33,"56.79%",3,"11,500%",1.07,"6.88%","93.12%","-6.88%",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
